Folder name,Number of Images,Folder Location,Year,Decade,Journal
1815_0_1507,780,BP2 prepped images,1815,1810s,Anti-Jacobin review and magazine
1815_1_1507,774,BP2 prepped images,1815,1810s,Anti-Jacobin review and magazine
1815_2_1507,33,BP2 prepped images,1815,1810s,Anti-Jacobin review and magazine
1816_0_1507,805,BP2 prepped images,1816,1810s,Anti-Jacobin review and magazine
1816_1_1507,556,BP2 prepped images,1816,1810s,Anti-Jacobin review and magazine
1817_0_1507,732,BP2 prepped images,1817,1810s,Anti-Jacobin review and magazine
1817_1_1507,543,BP2 prepped images,1817,1810s,Anti-Jacobin review and magazine
1817_2_1507,187,BP2 prepped images,1817,1810s,Anti-Jacobin review and magazine
1818_0_1507,452,BP2 prepped images,1818,1810s,Anti-Jacobin review and magazine
1818_1_1507,469,BP2 prepped images,1818,1810s,Anti-Jacobin review and magazine
1818_2_1507,431,BP2 prepped images,1818,1810s,Anti-Jacobin review and magazine
1819_0_1507,251,BP2 prepped images,1819,1810s,Anti-Jacobin review and magazine
1817_0_1588,343,BP2 prepped images,1817,1810s,Black Dwarf
1817_1_1588,303,BP2 prepped images,1817,1810s,Black Dwarf
1818_0_1588,348,BP2 prepped images,1818,1810s,Black Dwarf
1818_1_1588,351,BP2 prepped images,1818,1810s,Black Dwarf
1818_2_1588,104,BP2 prepped images,1818,1810s,Black Dwarf
1819_0_1588,344,BP2 prepped images,1819,1810s,Black Dwarf
1819_1_1588,329,BP2 prepped images,1819,1810s,Black Dwarf
1819_2_1588,97,BP2 prepped images,1819,1810s,Black Dwarf
1820_0_1588,646,BP2 prepped images,1820,1820s,Black Dwarf
1820_1_1588,636,BP2 prepped images,1820,1820s,Black Dwarf
1820_2_1588,646,BP2 prepped images,1820,1820s,Black Dwarf
1820_3_1588,265,BP2 prepped images,1820,1820s,Black Dwarf
1821_0_1588,593,BP2 prepped images,1821,1820s,Black Dwarf
1821_1_1588,584,BP2 prepped images,1821,1820s,Black Dwarf
1821_2_1588,560,BP2 prepped images,1821,1820s,Black Dwarf
1821_3_1588,409,BP2 prepped images,1821,1820s,Black Dwarf
1822_0_1588,629,BP2 prepped images,1822,1820s,Black Dwarf
1822_1_1588,632,BP2 prepped images,1822,1820s,Black Dwarf
1822_2_1588,647,BP2 prepped images,1822,1820s,Black Dwarf
1822_3_1588,209,BP2 prepped images,1822,1820s,Black Dwarf
1823_0_1588,714,BP2 prepped images,1823,1820s,Black Dwarf
1823_1_1588,702,BP2 prepped images,1823,1820s,Black Dwarf
1823_2_1588,706,BP2 prepped images,1823,1820s,Black Dwarf
1823_3_1588,40,BP2 prepped images,1823,1820s,Black Dwarf
1824_0_1588,670,BP2 prepped images,1824,1820s,Black Dwarf
1831_0_17729,829,BP2 prepped images,1831,1830s,Blackwood's Edinburgh magazine
1831_1_17729,845,BP2 prepped images,1831,1830s,Blackwood's Edinburgh magazine
1831_2_17729,447,BP2 prepped images,1831,1830s,Blackwood's Edinburgh magazine
1832_0_17729,790,BP2 prepped images,1832,1830s,Blackwood's Edinburgh magazine
1832_1_17729,770,BP2 prepped images,1832,1830s,Blackwood's Edinburgh magazine
1832_2_17729,516,BP2 prepped images,1832,1830s,Blackwood's Edinburgh magazine
1833_0_17729,780,BP2 prepped images,1833,1830s,Blackwood's Edinburgh magazine
1833_1_17729,803,BP2 prepped images,1833,1830s,Blackwood's Edinburgh magazine
1833_2_17729,500,BP2 prepped images,1833,1830s,Blackwood's Edinburgh magazine
1834_0_17729,780,BP2 prepped images,1834,1830s,Blackwood's Edinburgh magazine
1834_1_17729,769,BP2 prepped images,1834,1830s,Blackwood's Edinburgh magazine
1834_2_17729,443,BP2 prepped images,1834,1830s,Blackwood's Edinburgh magazine
1835_0_17729,831,BP2 prepped images,1835,1830s,Blackwood's Edinburgh magazine
1835_1_17729,835,BP2 prepped images,1835,1830s,Blackwood's Edinburgh magazine
1835_2_17729,299,BP2 prepped images,1835,1830s,Blackwood's Edinburgh magazine
1817_0_1593,541,BP2 prepped images,1817,1810s,British stage and literary cabinet
